user,value
124,21
465,42
415,27
848,42
736,33
696,11
749,27
692,27
582,11
501,26
160,41
770,42
269,23
446,25
351,42
427,27
507,25
94,11
816,41
312,27
784,23
357,26
4,42
350,42
634,11
930,27
315,21
571,22
125,18
983,27
144,42
502,42
485,11
211,28
200,22
468,42
489,22
294,42
159,42
543,11
791,11
7,23
358,26
916,11
716,41
368,45
948,22
349,22
3,42
69,11
613,43
967,25
613,31
202,9
580,27
374,42
815,31
821,11
519,42
881,42
754,42
875,26
804,11
659,22
389,25
328,44
7,11
248,15
637,43
73,22
608,41
603,26
726,26
756,40
213,15
849,11
359,22
246,7
171,11
242,24
249,44
324,25
412,26
588,11
972,11
798,34
949,42
893,42
59,18
263,39
786,26
45,42
31,44
414,22
769,22
139,34
879,42
339,11
36,11
461,23
283,42
258,11
225,23
319,20
950,42
236,11
447,18
399,11
679,27
355,11
382,15
164,23
798,41
14,11
64,42
901,40
56,26
265,46
769,23
164,42
567,42
729,11
508,14
479,41
357,11
677,34
57,5
169,20
832,42
930,11
779,42
980,11
310,25
60,41
219,26
661,22
720,42
150,40
932,22
893,11
397,23
98,27
642,44
336,34
293,22
175,26
56,42
32,20
481,21
117,18
804,34
18,11
393,26
193,44
511,11
173,20
801,11
612,41
386,11
613,11
319,32
465,11
519,11
65,22
262,39
74,42
398,2
57,25
495,42
730,36
439,11
314,42
181,27
453,42
999,39
940,22
533,36
784,13
712,41
485,42
948,40
176,11
283,11
196,41
185,11
473,27
79,25
995,26
21,5
736,42
592,25
162,22
353,11
338,42
756,49
477,41
940,31
373,34
846,14
336,11
438,23
512,25
189,15
419,20
874,21
505,42
810,11
97,23
724,49
708,11
396,11
576,42
249,7
314,11
681,23
367,35
288,42
830,25
922,11
367,26
611,22
569,27
994,22
772,45
795,11
755,11
131,27
407,34
334,39
318,7
583,11
999,11
149,36
505,42
838,22
17,42
831,3
230,39
675,42
32,40
703,9
418,22
502,11
818,7
935,11
696,26
86,44
320,34
700,42
39,42
918,30
244,11
392,40
123,27
849,40
766,42
727,41
568,25
913,26
529,42
466,48
326,26
827,22
274,20
837,39
759,42
524,11
43,21
798,40
700,26
380,36
766,11
662,22
440,11
573,34
663,23
773,23
440,11
69,34
741,41
789,23
68,22
436,34
36,42
833,22
364,11
959,25
740,42
84,42
600,42
950,22
80,11
436,11
14,14
197,11
721,15
516,11
165,42
56,23
23,26
817,42
284,6
82,11
115,20
506,24
324,26
220,42
132,42
542,40
634,42
889,42
913,23
500,42
88,26
38,11
738,29
329,42
932,11
900,11
557,42
336,29
856,11
37,42
353,11
373,42
143,42
304,1
273,20
752,41
271,42
766,20
972,9
410,27
795,22
455,26
261,22
928,42
176,42
144,41
186,18
151,26
905,42
795,42
451,42
321,42
77,24
757,42
739,42
0,42
555,42
183,26
827,41
820,42
76,42
309,25
439,22
380,33
533,40
57,41
93,26
981,11
468,18
801,44
161,11
983,26
427,41
651,42
818,43
531,34
620,39
944,25
11,11
483,42
451,11
195,42
336,42
740,40
957,39
378,42
806,42
700,11
802,22
185,27
511,11
32,9
376,27
452,42
536,11
732,11
401,27
492,41
576,27
284,26
149,34
330,22
726,25
821,11
177,9
879,3
287,42
797,11
581,20
467,11
892,5
906,42
263,7
526,42
796,15
958,42
10,18
351,11
579,42
426,42
733,41
61,44
427,41
341,41
753,42
33,26
58,42
461,22
954,41
162,44
182,26
634,11
365,34
944,27
179,22
863,42
837,27
554,11
187,34
34,26
579,22
977,11
213,39
605,11
583,11
988,42
107,23
641,22
821,11
13,42
79,11
422,40
925,39
913,11
312,31
482,22
882,24
289,22
610,25
667,21
151,22
266,39
389,15
97,31
550,25
395,25
287,41
467,11
183,42
49,42
782,9
485,11
749,11
222,7
803,26
13,41
212,11
460,42
898,42
518,26
21,11
955,42
996,20
189,21
664,11
242,40
886,41
933,11
425,27
345,34
693,42
607,40
294,11
638,18
272,26
970,41
22,33
433,25
159,34
229,42
316,11
980,26
744,11
307,26
499,23
211,42
763,42
993,42
482,24
286,26
296,22
399,24
391,34
318,26
15,42
916,41
402,11
551,40
439,36
583,26
810,11
487,42
839,18
81,27
434,11
744,34
951,35
637,34
968,13
287,26
744,41
439,11
918,11
451,41
766,27
438,4
316,18
78,34
509,25
561,22
541,11
114,27
217,11
707,42
892,42
910,42
288,25
382,40
190,34
944,40
823,40
106,25
389,42
830,22
815,7
853,11
260,41
339,9
5,22
75,47
955,42
308,42
62,11
220,39
475,42
418,20
544,42
541,47
714,18
469,11
326,41
682,34
949,22
149,34
825,42
788,26
725,27
967,22
997,40
287,14
123,22
613,25
245,40
674,18
260,11
419,26
189,42
892,26
157,7
939,42
15,26
832,11
230,41
8,20
527,27
626,13
954,26
941,29
685,15
530,27
290,42
815,8
416,20
453,39
814,27
989,42
104,34
813,22
739,22
578,11
422,26
701,22
945,39
34,42
301,39
813,42
504,33
10,39
423,40
716,41
755,42
386,11
703,26
288,15
257,40
754,24
881,11
315,22
253,11
918,18
738,23
951,11
880,26
423,44
311,25
519,34
382,21
230,42
72,26
183,22
772,20
448,26
570,42
215,42
728,11
397,11
32,20
340,21
391,27
216,42
214,42
70,42
817,33
903,18
536,11
716,11
223,25
545,40
955,34
699,26
384,36
498,11
816,29
605,11
649,13
249,11
99,42
743,11
217,21
788,22
467,42
38,42
891,32
548,11
542,22
209,11
208,11
213,41
406,11
368,39
220,27
539,11
472,27
271,44
116,11
146,41
815,42
916,26
520,10
6,22
83,15
902,26
892,4
206,22
15,27
320,26
788,42
162,48
356,27
648,11
962,39
228,32
696,42
906,42
803,24
96,26
402,39
776,26
229,11
33,22
354,42
833,18
199,39
99,42
115,48
181,26
318,21
848,42
490,42
518,41
685,42
296,22
87,42
564,39
51,39
512,42
725,24
88,0
31,42
664,44
671,31
607,28
346,16
573,39
42,22
256,18
665,43
90,8
967,25
63,41
693,26
165,42
621,42
541,11
155,3
697,22
897,11
827,26
10,11
546,26
651,26
464,42
456,9
51,39
127,11
885,42
698,42
138,9
157,27
963,22
663,20
489,27
941,11
694,11
145,10
990,22
787,26
888,22
663,27
804,11
829,32
343,40
290,26
906,27
553,42
413,2
293,25
604,3
313,11
299,18
105,26
991,11
569,34
471,42
902,30
714,11
366,20
657,48
183,40
694,11
851,15
767,11
522,11
883,20
789,32
181,39
735,42
545,42
432,22
956,7
127,11
921,42
922,20
685,20
817,26
464,42
887,13
410,11
470,42
744,11
465,14
953,11
200,22
522,26
668,41
201,42
125,27
740,12
116,39
982,26
416,20
638,42
46,20
942,11
910,11
360,11
443,11
199,26
418,41
673,42
867,42
834,22
392,20
94,25
902,11
669,41
818,18
635,41
418,42
600,23
364,36
579,26
718,42
872,42
49,26
944,11
223,22
661,11
226,16
640,11
434,31
530,11
957,23
589,21
353,24
164,44
778,25
395,42
103,17
200,39
508,26
665,42
544,34
542,33
904,27
785,29
588,22
165,22
588,20
826,11
703,20
365,44
135,42
172,15
927,30
525,11
245,22
315,22
973,11
576,9
74,45
957,41
428,22
285,11
143,45
860,42
68,11
619,18
622,45
506,18
957,26
499,44
441,11
650,18
318,42
515,31
231,40
876,11
278,26
315,20
361,11
306,11
389,36
278,11
522,42
433,42
508,22
729,11
520,11
220,10
702,25
736,25
277,6
991,20
488,22
828,44
563,18
94,42
650,42
208,18
322,25
450,9
434,22
328,26
94,22
996,24
519,11
536,39
790,42
227,34
363,42
65,11
524,11
469,22
233,13
13,44
171,22
296,11
575,26
651,32
867,9
466,41
895,26
466,42
860,42
259,11
895,30
71,42
787,25
830,20
940,6
539,19
761,7
383,27
379,42
477,22
550,44
931,42
848,27
929,45
437,11
644,42
251,27
99,44
17,11
38,42
609,42
351,11
49,7
424,11
988,27
334,22
430,42
436,25
860,11
313,27
291,18
932,11
398,11
350,26
65,24
298,11
682,25
408,31
633,11
820,42
197,28
354,11
415,11
483,34
532,39
742,39
768,26
225,22
125,22
711,12
939,11
633,27
434,22
195,18
890,16
935,31
532,42
73,15
809,11
267,0
653,25
574,27
974,47
463,26
515,42
625,11
267,11
223,42
21,26
707,11
792,42
263,7
748,41
594,39
74,34
150,39
952,42
942,11
404,11
319,15
959,41
0,42
121,18
291,40
907,11
677,11
96,11
539,42
27,24
287,42
553,11
954,11
98,26
751,11
810,42
847,47
414,20
15,11
111,39
221,47
33,22
331,20
308,27
390,27
93,41
344,34
662,22
808,23
808,11
11,22
207,11
264,34
999,30
424,11
614,26
239,27
238,42
925,42
235,42
780,34
581,31
372,7
144,22
210,27
956,22
223,18
680,42
269,42
456,19
658,42
358,42
279,39
103,9
114,42
877,9
546,11
587,34
363,18
403,39
927,27
405,42
439,40
628,22
501,26
858,41
399,26
46,25
307,11
890,18
972,11
972,26
353,27
540,42
150,11
527,22
895,26
466,46
268,39
113,36
422,41
930,25
185,41
477,21
783,42
474,26
975,42
70,23
901,27
542,15
91,34
743,42
558,34
408,42
651,11
914,10
294,14
959,41
52,18
646,26
82,23
294,27
152,11
714,26
64,42
404,13
621,41
793,28
840,42
685,42
346,42
707,11
486,25
573,32
450,26
745,49
669,22
88,26
705,20
736,23
349,42
51,11
884,42
210,11
240,25
175,27
466,42
127,34
381,42
164,11
405,31
979,11
255,11
70,42
750,42
559,22
644,42
799,34
43,26
582,20
579,24
861,22
781,9
870,11
751,22
488,11
835,42
673,27
817,21
916,22
327,25
252,24
145,11
350,42
557,41
129,18
31,14
781,42
654,11
554,24
258,11
904,41
60,47
711,11
394,20
805,20
693,14
831,42
182,33
221,42
486,41
478,23
168,42
945,42
135,3
842,42
749,11
98,40
772,11
760,42
789,26
5,18
381,19
621,26
373,34
314,42
483,42
674,11
554,11
311,32
718,11
242,34
745,42
821,42
845,21
795,26
381,36
247,22
156,25
475,25
923,42
641,42
626,41
215,26
499,25
547,11
315,23
48,42
291,39
841,42
845,22
432,42
221,11
346,42
463,14
618,39
922,25
862,31
637,11
118,26
553,42
174,22
494,23
467,46
108,27
428,42
273,22
413,22
684,22
722,42
45,11
998,11
185,26
202,25
884,39
588,31
130,27
288,42
312,21
517,27
10,15
220,2
116,23
927,25
342,40
238,42
201,48
478,26
476,27
102,42
135,42
64,42
485,16
244,11
988,11
876,11
751,11
407,22
957,42
382,14
86,11
936,39
416,42
298,26
937,18
710,11
110,41
393,26
699,42
143,11
497,41
372,40
919,27
226,34
895,41
313,40
836,42
814,25
282,27
967,27
375,42
466,39
425,42
938,11
166,22
843,23
915,42
955,23
881,42
86,42
183,42
332,42
192,42
159,26
115,16
239,27
611,27
908,31
737,11
755,39
680,42
65,11
317,42
382,15
199,44
967,11
492,25
340,42
208,3
292,42
980,25
632,11
216,42
33,21
59,19
118,22
313,42
722,39
625,13
496,42
901,30
463,40
378,44
929,22
534,6
30,11
230,11
480,11
646,23
763,40
988,1
884,20
764,24
294,11
29,20
631,11
550,42
970,11
876,14
232,34
485,22
749,11
246,11
426,34
39,21
803,23
204,11
139,11
585,42
33,40
900,20
830,34
82,11
837,27
836,26
211,20
288,15
205,41
888,25
731,42
546,42
350,6
953,42
27,26
597,2
139,34
626,42
455,34
549,42
912,11
771,11
39,11
286,26
458,43
837,2
214,42
624,34
881,42
560,42
48,11
96,44
522,22
446,42
359,45
461,26
73,42
735,24
691,42
684,11
615,27
50,11
76,41
361,11
364,25
96,41
375,42
235,11
372,26
805,27
693,18
287,42
612,39
990,11
714,40
716,42
189,42
519,42
819,41
536,20
911,42
223,42
701,11
22,11
634,11
784,11
722,44
484,28
309,39
591,42
853,11
225,20
161,22
895,11
585,22
788,24
15,41
332,47
789,42
257,11
65,11
238,22
678,22
529,26
844,42
462,42
368,42
654,16
465,26
844,34
909,11
305,42
186,26
176,42
820,23
732,46
473,15
426,42
371,42
792,11
415,11
399,13
123,11
655,22
510,27
595,25
807,41
489,11
291,42
496,26
136,39
342,42
514,33
685,11
167,40
657,11
598,33
911,26
888,29
504,27
365,22
45,15
603,11
478,3
442,18
129,27
242,48
383,11
421,42
251,26
80,42
69,22
647,22
951,23
245,34
949,25
765,42
723,11
789,26
344,27
170,42
775,41
89,42
764,41
570,18
390,11
125,44
766,22
271,22
706,11
772,49
64,39
736,42
898,42
669,22
555,25
136,34
848,11
45,11
667,23
928,11
548,42
